,ID,Price,Address,City,State,ZipCode,Latitude,Longitude,Category,Beds,Baths,SqFt,UnSqFt,LotSize,YearBuilt,YearReno
31,/WA/Redmond/17249-NE-121st-St-98052/home/145278779,1311900,17249 NE 121st Place,Redmond,WA,98052,47.709361,-122.101785,Single Family Residential,,,,,,,
32,/WA/Redmond/10761-155th-Pl-NE-98052/home/145236100,1749000,10761 155th Place NE,Redmond,WA,98052,47.6948182,-122.1330564,Single Family Residential,,,,,,,
33,/WA/Kirkland/7300-132nd-Ave-NE-98033/unit-1/home/144759251,1670000,7300 132nd Ave NE Lot 1,Kirkland,WA,98033,47.669948,-122.163293,Single Family Residential,,,,,,,
34,/WA/Redmond/11503-174th-Ave-NE-98052/home/144722685,1304950,11503 174th Ave NE,Redmond,WA,98052,47.718583,-122.1087164,Single Family Residential,,,,,,,
35,/WA/Redmond/11557-174th-Ave-NE-98052/home/144722684,1290950,11557 174th Ave NE,Redmond,WA,98052,47.718583,-122.1087164,Single Family Residential,,,,,,,
36,/WA/Redmond/11580-174th-Ave-NE-98052/home/144722661,1289950,11580 174th Ave NE,Redmond,WA,98052,47.718583,-122.1087164,Single Family Residential,,,,,,,
37,/WA/Redmond/3076-W-Lake-Sammamish-Pkwy-NE-98052/home/22720181,1800000,3076 W Lake Sammamish Pkwy NE,Redmond,WA,98052,47.6384063,-122.0957413,Vacant Land,,,,,0.5,,
38,/WA/Redmond/12232-178th-Pl-NE-98052/home/143457461,1332900,12232 178th Place NE,Redmond,WA,98052,47.709361,-122.101785,Vacant Land,,,,,0.12,,
39,/WA/Redmond/12031-Dave-Rd-98052/home/49779727,799950,12031 Dave Rd NE,Redmond,WA,98052,47.7083806,-122.1223731,Vacant Land,,,,,,,
40,/WA/Redmond/English-Landing/Residence-H-241/home/142994738,1279900,Residence H-241,Redmond,WA,98052,47.709361,-122.101785,,,,,,,,
41,/WA/Redmond/English-Landing/Residence-P-330/home/143723111,1304900,Residence P-330,Redmond,WA,98052,47.709361,-122.101785,,,,,,,,
42,/WA/Redmond/English-Landing/Residence-H-390/home/145469553,1384900,Residence H-390,Redmond,WA,98052,47.7091753,-122.1021099,,,,,,,,
